Run_ID,P_0,P_100,P_200,P_300,P_400,P_500,P_600,P_700,P_800,P_900,P_1000,A_0,A_100,A_200,A_300,A_400,A_500,A_600,A_700,A_800,A_900,A_1000,LeakLabel
1,500000,491577.284704565,483154.569409131,474731.854113696,466309.138818261,442403.089930768,433980.374635334,425557.659339899,417134.944044464,408712.22874903,400289.513453595,-0.0205864448368429,-0.0222880108688005,-0.0253581290489487,-0.0552490106808855,0.158863816399952,0.321925929510071,0.181086431614131,0.00145926129405401,-0.0647332459597195,-0.0073611706160306,0.0196980674463171,leak
2,500000,491577.284704565,483154.569409131,474731.854113696,466309.138818261,457886.423522827,449463.708227392,441040.992931957,432618.277636522,424195.562341088,415772.847045653,0.0884671176462529,-0.00549843401811918,-0.0289299497790562,-0.0721597320490846,0.0428804734904077,-0.025703541330562,0.0718267125011277,0.00364455147785412,-0.00678848453905617,-0.0284320676183218,-0.0260124584663296,not leak
3,500000,491577.284704565,483154.569409131,474731.854113696,466309.138818261,457886.423522827,449463.708227392,441040.992931957,432618.277636522,424195.562341088,415772.847045653,0.0302670032676091,-0.0211903336273688,0.0322586797430651,-0.0852770927341859,0.0173779982318429,-0.0461141665205612,-0.0789033111279797,-0.0118530494007788,0.0310530718060671,0.05204142182917,0.0621799464760613,not leak
4,500000,491577.284704565,483154.569409131,463586.967343106,455164.252047672,446741.536752237,438318.821456802,429896.106161368,421473.390865933,413050.675570498,404627.960275063,-0.0483718844596484,0.153749311483359,0.115091028517196,0.422873268859805,0.0508758264082658,-0.0541079570842429,-0.0335901417518118,-0.0769010119153026,-0.01005196041966,-0.0566859196253704,0.0195743565004516,leak
5,500000,491577.284704565,483154.569409131,474731.854113696,466309.138818261,457886.423522827,449463.708227392,441040.992931957,419428.586935797,411005.871640362,402583.156344928,-0.028746197794291,0.00849366399298664,-0.0329801242685826,0.0136468471557887,-0.0426773925290373,0.0295118238695436,-0.00576036529667563,0.126273070760796,0.38666208090655,0.0588899597718014,0.0635880303623698,leak
6,500000,491577.284704565,483154.569409131,474731.854113696,466309.138818261,457886.423522827,449463.708227392,441040.992931957,432618.277636522,424195.562341088,415772.847045653,0.105820707144402,0.013360463248886,0.0241001125136719,0.0219048125383156,0.0280170994182707,0.0417836443856553,0.0535359763869402,-0.0495108676595014,-0.0649828099305646,0.0670970332245208,0.0485395342598644,not leak
7,500000,491577.284704565,483154.569409131,474731.854113696,453347.562759224,444924.847463789,436502.132168355,428079.41687292,419656.701577485,411233.98628205,402811.270986616,-0.00246939610781853,0.0928624125475706,-0.0580379020563651,0.029105638912655,0.318027286303571,0.227353256376768,0.0177135846042021,-0.00914176500496187,0.047344103920729,-0.00683631893352903,0.0596121228595428,leak
8,500000,480489.97687758,472067.261582145,463644.54628671,455221.830991275,446799.115695841,438376.400400406,429953.685104971,421530.969809537,413108.254514102,404685.539218667,0.0361466645435025,0.502737759014578,0.210252323846461,0.0407633906505648,0.00139508381325028,-0.0445202919631316,-0.0644726974450974,0.0552538831791905,0.100284980396704,0.0136189608927492,-0.00342741719802028,leak
9,500000,491577.284704565,483154.569409131,474731.854113696,466309.138818261,457886.423522827,449463.708227392,441040.992931957,432618.277636522,424195.562341088,415772.847045653,-0.100268415081314,0.021487856024909,0.00146873121942601,0.0165075680324762,-0.0214615513684429,-0.0935505267199561,0.0499084185275821,-0.0328029573878721,0.00902302957028518,0.047751573654719,0.0287727699360404,not leak
10,500000,491577.284704565,483154.569409131,474731.854113696,466309.138818261,457886.423522827,449463.708227392,441040.992931957,432618.277636522,424195.562341088,415772.847045653,-0.0130232366583203,-0.010826831138656,0.0497648316629967,0.0645831313134323,-0.0532710515402123,-0.050971903078505,0.00656924327220154,-6.01900009178848e-05,0.0101097112685544,-0.0526259495401281,-0.0672615179397971,not leak
11,500000,480769.256708912,472346.541413477,463923.826118042,455501.110822608,447078.395527173,438655.680231738,430232.964936304,421810.249640869,413387.534345434,404964.819049999,0.169509082680127,0.516849260232961,0.0341757945000166,-0.0191673427710197,-0.0563161101585778,0.0451916855923958,0.0429408993430137,-0.00831160722779518,0.0194710481410866,0.0136984712658985,0.0465751547791318,leak
12,500000,491577.284704565,483154.569409131,461363.726310449,452941.011015014,444518.29571958,436095.580424145,427672.86512871,419250.149833276,410827.434537841,402404.719242406,-0.00404398666785528,-0.0631689313511767,0.135384093969398,0.493060403554243,-0.0130464737956234,-0.105435873138962,-0.051165190538621,0.0144305179440972,-0.03825018088314,0.0475638228907667,-0.0279987258874699,leak
